,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
0,2024-12-30,2011-07-06,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$944.00,t,2024-12-30,2011-07-30,2024-12-09,f,2.0,2.0,59.31389,18.06087,2.0,1.0,1.0,2.0,2.0,120.0,2.0,2.0,120,120.0,27,57,87,177,9.3,2.7,0.0,4.86,4.87,4.79,4.95,4.97,4.84,4.76,2.0,1.0,0.0,0.0
1,2024-12-30,2011-02-27,within a day,100%,15%,f,t,t,Private room in rental unit,Private room,1 shared bath,$414.00,t,2024-12-30,2011-09-29,2024-08-30,f,2.0,4.0,59.33351,18.03693,1.0,1.0,1.0,1.0,2.0,20.0,2.0,2.0,20,20.0,25,55,85,360,9.3,1.0,0.0,4.68,4.7,4.63,4.87,4.88,4.81,4.7,2.0,1.0,0.0,0.0
2,2024-12-30,2011-10-05,within a few hours,100%,0%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,320.00",t,2024-12-30,2011-11-28,2016-12-13,f,1.0,1.0,59.33872,18.05131,2.0,1.0,1.0,2.0,1.0,60.0,1.0,1.0,60,60.0,28,58,88,88,9.3,0.0,0.0,4.79,4.65,4.71,4.85,4.95,4.85,4.64,1.0,1.0,0.0,0.0
3,2024-12-30,2011-07-06,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$814.00,t,2024-12-30,2012-02-13,2024-12-01,f,2.0,2.0,59.31198,18.06076,1.0,1.0,1.0,1.0,2.0,300.0,2.0,2.0,300,300.0,30,60,90,180,9.3,2.7,0.0,4.9,4.88,4.84,4.96,4.98,4.89,4.84,2.0,1.0,0.0,0.0
4,2024-12-30,2011-11-22,within a few hours,100%,100%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$2,750.00",t,2024-12-30,2012-07-19,2017-07-31,f,3.0,3.0,59.30543,18.10771,4.0,2.0,3.0,3.0,6.0,30.0,6.0,6.0,30,30.0,2,2,2,9,4.0,0.0,0.0,5.0,5.0,5.0,5.0,4.75,5.0,5.0,2.0,1.0,0.0,0.0
5,2024-12-30,2011-12-28,within a few hours,100%,98%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,190.00",t,2024-12-30,2013-06-16,2024-10-03,f,1.0,1.0,59.31846,18.07042,4.0,1.0,0.0,2.0,2.0,30.0,2.0,2.0,1125,1125.0,0,0,0,165,9.3,2.7,0.0,4.66,4.76,4.38,4.92,4.95,4.96,4.58,1.0,1.0,0.0,0.0
6,2024-12-30,2011-10-22,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2012-02-21,2024-09-21,t,1.0,1.8,59.30318,17.99521,4.0,1.2,1.0,2.0,3.0,184.9,3.0,3.0,1125,1125.0,17,35,35,236,9.3,10.0,0.0,4.47,4.9,4.4,4.67,4.71,4.38,4.42,1.0,1.0,0.0,0.0
7,2024-12-30,2012-01-01,within a few hours,67%,56%,f,t,t,Private room in home,Private room,1 shared bath,$750.00,t,2024-12-30,2012-07-09,2024-11-06,f,2.0,2.0,59.27635,17.99165,2.0,1.0,1.0,1.0,1.0,184.9,1.0,1.0,1125,1125.0,30,60,90,365,38.0,5.0,0.0,4.63,4.49,4.7,4.7,4.9,4.46,4.59,2.0,1.0,0.0,0.0
8,2024-12-30,2012-01-02,within a day,100%,41%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$4,300.00",t,2024-12-30,2012-06-18,2024-09-03,f,2.0,3.0,59.34685,18.06056,4.0,1.5,3.0,4.0,5.0,60.0,5.0,5.0,60,60.0,27,56,82,325,9.3,5.0,0.0,4.97,4.92,4.8,4.97,4.98,4.98,4.87,1.0,1.0,0.0,0.0
9,2024-12-30,2011-12-25,,,,f,t,t,Entire loft,Entire home/apt,1 bath,$900.00,t,2024-12-30,2012-06-04,2019-09-26,f,1.0,4.0,59.34283,18.0493,1.0,1.0,1.0,1.0,2.9,180.0,2.7,3.0,180,180.0,27,57,87,177,51.0,0.0,0.0,4.9,4.92,4.8,4.92,4.94,4.92,4.73,1.0,1.0,0.0,0.0
10,2024-12-30,2012-01-29,,,78%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,400.00",t,2024-12-30,2012-02-12,2024-09-29,f,1.0,1.0,59.31352,18.09072,2.0,1.0,1.0,1.0,3.0,14.0,3.0,3.0,14,14.0,5,5,5,95,16.0,5.0,0.0,4.88,4.63,4.69,4.87,4.88,4.87,4.8,1.0,1.0,0.0,0.0
11,2024-12-30,2011-06-26,within an hour,100%,100%,f,t,t,Entire guesthouse,Entire home/apt,1 bath,$360.00,t,2024-12-30,2012-05-08,2024-12-03,f,1.0,3.0,59.24656,18.17775,1.0,1.0,1.0,1.0,1.0,184.9,1.0,1.0,1125,1125.0,27,57,87,177,25.0,6.0,0.0,4.9,4.9,4.8,4.9,4.9,4.9,4.8,1.0,1.0,0.0,0.0
12,2024-12-30,2012-03-15,,,33%,f,t,f,Entire townhouse,Entire home/apt,1.5 baths,,t,2024-12-30,2015-07-06,2024-07-31,f,1.0,1.0,59.25094,18.09676,6.0,1.2,1.4,2.0,8.0,45.0,8.0,8.0,45,45.0,0,0,0,0,9.0,1.0,0.0,4.9,4.44,4.8,4.75,4.75,4.9,4.25,1.0,1.0,0.0,0.0
13,2024-12-30,2011-08-03,within an hour,100%,89%,t,t,t,Private room in townhouse,Private room,2 shared baths,$350.00,t,2024-12-30,2012-06-01,2024-11-25,f,3.0,1.8,59.26424,18.02277,1.0,2.0,1.0,1.0,1.0,150.0,1.0,1.0,150,150.0,30,60,90,365,44.0,11.0,0.0,4.75,4.73,4.86,4.93,4.95,4.61,4.66,3.0,1.0,0.0,0.0
14,2024-12-30,2012-04-23,within an hour,100%,100%,f,t,t,Private room in rental unit,Private room,1 shared bath,,t,2024-12-30,2012-05-10,2023-11-18,f,1.0,1.0,59.31041093355452,18.02404045094815,1.0,1.2,1.4,2.0,3.0,25.0,3.0,3.0,25,25.0,0,0,0,0,9.3,0.0,0.0,4.64,4.77,4.58,4.84,4.85,4.66,4.5,1.0,1.0,0.0,0.0
15,2024-12-30,2012-04-28,,,0%,f,t,t,Entire home,Entire home/apt,1 bath,"$2,200.00",t,2024-12-30,2012-11-01,2022-07-24,f,1.0,3.0,59.28003,18.05527,4.0,1.0,3.0,3.0,3.0,14.0,3.0,3.0,14,14.0,23,53,83,83,25.0,0.0,0.0,4.65,4.8,4.4,4.7,4.96,4.84,4.48,1.0,1.0,0.0,0.0
16,2024-12-30,2012-05-12,,,0%,f,t,t,Private room in rental unit,Private room,1 shared bath,$523.00,t,2024-12-30,2012-05-20,2017-06-29,f,1.0,1.0,59.31412,18.08274,1.0,1.0,1.0,1.0,3.0,7.0,3.0,3.0,7,7.0,0,0,0,29,41.0,0.0,0.0,4.54,4.9,4.63,4.71,4.8,4.76,4.41,1.0,1.0,0.0,0.0
17,2024-12-30,2012-02-15,,,50%,f,t,t,Entire condo,Entire home/apt,2 baths,"$1,399.00",t,2024-12-30,2013-05-13,2024-08-25,f,1.0,2.0,59.30177,17.99189,3.0,2.0,2.0,3.0,4.0,180.0,4.0,4.0,180,180.0,9,39,69,159,33.0,2.0,0.0,4.7,4.77,4.59,4.9,4.9,4.61,4.61,1.0,1.0,0.0,0.0
18,2024-12-30,2012-06-13,,,,f,t,f,Private room in rental unit,Private room,Shared half-bath,,,2024-12-30,2012-06-20,2018-08-08,f,1.0,1.8,59.34412,18.08957,2.0,1.2,1.4,2.0,10.0,90.0,2.7,3.0,90,90.0,0,0,0,0,9.3,0.0,0.0,4.78,4.83,4.73,4.86,4.9,4.72,4.7,1.0,1.0,0.0,0.0
19,2024-12-30,2012-06-16,a few days or more,0%,50%,f,t,t,Entire villa,Entire home/apt,2.5 baths,"$2,700.00",t,2024-12-30,2023-07-28,2024-08-14,f,1.0,1.0,59.2783119,18.1181517,6.0,1.2,3.0,3.0,6.0,365.0,6.0,6.0,365,365.0,3,30,60,329,4.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,1.0,1.0,0.0,0.0
20,2024-12-30,2012-06-25,within an hour,100%,100%,f,t,t,Entire loft,Entire home/apt,1.5 baths,"$1,000.00",t,2024-12-30,2015-05-14,2024-01-15,f,1.0,1.0,59.34171,18.03712,3.0,1.5,0.0,2.0,4.0,50.0,3.0,5.0,50,50.0,8,8,8,8,43.0,2.0,0.0,4.63,4.7,4.47,4.7,4.74,4.91,4.47,1.0,1.0,0.0,0.0
21,2024-12-30,2012-06-26,within a few hours,80%,77%,t,t,t,Entire condo,Entire home/apt,1 bath,"$1,760.00",t,2024-12-30,2012-07-28,2023-11-30,f,1.3,1.8,59.33536,17.97669,4.0,1.0,2.0,3.0,2.9,184.9,2.7,3.0,1125,1125.0,0,0,7,93,14.0,0.0,0.0,4.62,4.57,4.36,4.86,4.79,4.9,4.21,3.0,1.0,0.0,0.0
22,2024-12-30,2012-06-29,,,100%,f,t,t,Entire villa,Entire home/apt,2 baths,"$4,245.00",t,2024-12-30,2013-08-06,2024-07-21,f,1.0,1.0,59.31711,18.00519,6.0,2.0,3.0,4.0,4.0,20.0,4.0,4.0,20,20.0,0,2,2,36,29.0,4.0,0.0,4.79,4.77,4.92,4.92,4.88,4.69,4.69,1.0,1.0,0.0,0.0
23,2024-12-30,2012-06-26,within a few hours,80%,77%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$981.00,t,2024-12-30,2015-10-10,2024-07-21,f,1.3,1.8,59.33583,18.02983,3.0,1.0,1.0,1.0,1.0,184.9,1.0,1.0,1125,1125.0,28,58,82,236,47.0,8.0,0.0,4.68,4.83,4.45,4.98,4.89,4.85,4.52,3.0,1.0,0.0,0.0
24,2024-12-30,2012-07-07,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$470.00,t,2024-12-30,2012-07-15,2024-12-24,t,1.0,1.0,59.33894,18.0919,2.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1125,1125.0,19,22,22,22,9.3,2.7,0.0,4.92,4.94,4.98,4.9,4.93,4.88,4.85,1.0,1.0,0.0,0.0
25,2024-12-30,2012-03-02,within a few hours,100%,83%,f,t,t,Entire condo,Entire home/apt,1 bath,$552.00,t,2024-12-30,2012-12-09,2024-08-12,f,1.0,1.0,59.292661,18.11225,4.0,1.0,2.0,3.0,2.9,184.9,2.7,3.0,1125,1125.0,0,0,0,22,12.0,2.0,0.0,5.0,5.0,4.92,5.0,5.0,4.83,4.92,1.0,1.0,0.0,0.0
26,2024-12-30,2012-05-17,within a few hours,100%,21%,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2012-11-19,2024-06-30,f,1.0,1.0,59.31414,18.08102,2.0,1.2,1.0,2.0,2.0,2.0,2.0,2.0,2,2.0,0,0,0,0,9.3,2.0,0.0,4.83,4.89,4.9,4.86,4.88,4.95,4.75,1.0,1.0,0.0,0.0
27,2024-12-30,2012-10-21,within an hour,100%,100%,f,t,f,Entire condo,Entire home/apt,1 bath,"$1,250.00",t,2024-12-30,2013-08-19,2021-06-04,f,1.0,1.0,59.31544,18.0755,2.0,1.0,2.0,3.0,2.9,270.0,2.7,3.0,270,270.0,5,5,5,95,18.0,0.0,0.0,4.78,4.67,4.67,4.94,5.0,5.0,4.61,1.0,1.0,0.0,0.0
28,2024-12-30,2012-10-26,within a few hours,100%,79%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$1,549.00",t,2024-12-30,2015-12-01,2024-12-15,f,1.0,1.0,59.32881,18.03559,4.0,2.0,1.0,4.0,2.0,184.9,2.0,2.0,1125,1125.0,18,48,74,307,9.3,2.7,0.0,4.77,4.84,4.42,4.97,4.96,4.93,4.77,1.0,1.0,0.0,0.0
29,2024-12-30,2012-09-12,within a few hours,100%,60%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,850.00",t,2024-12-30,2013-04-02,2024-08-05,f,2.0,2.0,59.34489,18.05216,4.0,1.0,3.0,3.0,3.0,14.0,3.0,3.0,14,14.0,0,0,0,84,9.3,2.0,0.0,4.94,4.91,4.94,4.88,4.94,4.79,4.75,1.0,1.0,0.0,0.0
30,2024-12-30,2012-11-08,,,92%,t,t,f,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2013-02-12,2024-09-01,f,1.0,1.0,59.32355,18.0698,2.0,1.2,1.0,2.0,1.0,60.0,1.0,1.0,60,60.0,0,0,0,0,9.3,10.0,0.0,4.91,4.93,4.94,4.98,5.0,4.98,4.85,1.0,1.0,0.0,0.0
31,2024-12-30,2012-10-24,within an hour,100%,0%,f,t,t,Entire loft,Entire home/apt,1 bath,"$1,800.00",t,2024-12-30,2013-02-26,2018-10-09,f,1.0,1.0,59.34353,18.05081,2.0,1.0,1.0,1.0,5.0,15.0,5.0,5.0,15,15.0,0,0,0,27,20.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
32,2024-12-30,2012-11-13,within a day,100%,86%,f,t,t,Entire home,Entire home/apt,1 bath,"$1,700.00",t,2024-12-30,2013-07-16,2024-08-08,f,1.0,1.0,59.32142,17.99469,6.0,1.0,3.0,6.0,5.0,184.9,3.0,5.0,1125,1125.0,0,0,0,27,28.0,6.0,0.0,4.96,4.93,5.0,4.89,4.93,4.64,4.86,1.0,1.0,0.0,0.0
33,2024-12-30,2012-10-25,,,88%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$2,200.00",t,2024-12-30,2013-09-02,2024-09-15,f,1.0,1.0,59.33981,18.06163,2.0,1.5,1.0,2.0,1.0,14.0,1.0,1.0,14,14.0,0,0,0,0,9.3,5.0,0.0,4.87,4.85,4.65,4.93,4.98,4.96,4.7,1.0,1.0,0.0,0.0
